Time_s,Linear Accel X,Linear Accel Y,Linear Accel Z,Gravity X,Gravity Y,Gravity Z,Gyroscope Yaw,Gyroscope Pitch,Gyroscope Roll,Orientation Yaw,Orientation Pitch,Orientation Roll,GPS_Speed_ms,Velocity_ms,ref_lat,ref_lon,ref_heading
0.0,-0.26860000000000006,0.053200000000000025,0.40410000000000146,-0.601,-0.5006,9.7754,-0.0043,0.0149,-0.0075,173.96,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.1,-0.14510000000000006,0.04704000000000001,0.21178000000000097,-0.59998,-0.5005200000000001,9.775459999999999,-0.00302,0.00446,-0.0032199999999999998,173.95600000000002,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.2,-0.021600000000000036,0.04088000000000001,0.019460000000000477,-0.5989599999999999,-0.50044,9.77552,-0.0017400000000000002,-0.005979999999999999,0.0010600000000000002,173.952,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.30000000000000004,0.10190000000000005,0.034719999999999994,-0.17286000000000012,-0.59794,-0.50036,9.77558,-0.0004599999999999999,-0.01642,0.005340000000000001,173.948,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.4,0.2254,0.028559999999999985,-0.3651800000000005,-0.59692,-0.50028,9.775640000000001,0.0008199999999999995,-0.02686,0.00962,173.944,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.5,0.3489,0.022399999999999975,-0.557500000000001,-0.5959,-0.5002,9.7757,0.0021,-0.0373,0.0139,173.94,3.51,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.6000000000000001,0.35416,0.014479999999999976,-0.4574000000000004,-0.59736,-0.49978,9.775640000000001,0.0018999999999999998,-0.03816,0.01368,173.334,3.512,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.7000000000000001,0.35941999999999996,0.0065599999999999825,-0.35729999999999995,-0.59882,-0.49935999999999997,9.77558,0.0016999999999999997,-0.03902,0.01346,172.728,3.514,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.8,0.36468,-0.0013600000000000105,-0.25719999999999954,-0.6002799999999999,-0.49894,9.77552,0.0015,-0.03988,0.01324,172.12199999999999,3.516,2.93,0.0,0.0,52.218723,-1.502687,121.9
0.9,0.36994,-0.009280000000000004,-0.15709999999999907,-0.6017399999999999,-0.49851999999999996,9.775459999999999,0.0013,-0.04074,0.01302,171.516,3.518,2.93,0.0,0.0,52.218723,-1.502687,121.9
1.0,0.3752,-0.017199999999999993,-0.05699999999999861,-0.6032,-0.4981,9.7754,0.0011,-0.0416,0.0128,170.91,3.52,2.93,0.0,0.0,52.218723,-1.502687,121.9
1.1,-0.09298000000000045,1.6277200000000014,-0.8002999999999996,-0.60204,-0.49129999999999996,9.7758,0.003440000000000002,-0.03327999999999999,0.009819999999999999,171.01,3.522,2.928,0.0,0.0,52.218723,-1.502687,121.9
1.2000000000000002,-0.5611600000000009,3.272640000000003,-1.5436000000000005,-0.60088,-0.4845,9.7762,0.005780000000000005,-0.024959999999999986,0.006839999999999995,171.10999999999999,3.524,2.926,0.0,0.0,52.218723,-1.502687,121.9
1.3,-1.0293400000000001,4.917560000000001,-2.2869,-0.59972,-0.4777,9.7766,0.00812,-0.016639999999999995,0.003859999999999999,171.21,3.526,2.924,0.0,0.0,52.218723,-1.502687,121.9
1.4000000000000001,-1.4975200000000006,6.5624800000000025,-3.030200000000001,-0.59856,-0.4709,9.777,0.010460000000000004,-0.008319999999999987,0.0008799999999999971,171.31,3.528,2.922,0.0,0.0,52.218723,-1.502687,121.9
1.5,-1.9657,8.2074,-3.7735000000000003,-0.5974,-0.4641,9.7774,0.0128,0.0,-0.0021,171.41,3.53,2.92,0.0,0.0,52.218723,-1.502687,121.9
1.6,-1.5196599999999996,6.593279999999998,-3.10744,-0.5707,-0.3058599999999999,9.77996,0.008739999999999998,-0.008100000000000008,0.0028000000000000043,172.464,3.364,1.9579999999999993,0.0,0.0,52.218723,-1.502687,121.9
1.7000000000000002,-1.0736199999999991,4.979159999999997,-2.4413799999999997,-0.5439999999999999,-0.14761999999999975,9.78252,0.004679999999999993,-0.016200000000000016,0.007700000000000009,173.518,3.1979999999999995,0.9959999999999984,0.0,0.0,52.218723,-1.502687,121.9
1.8,-0.6275799999999998,3.3650399999999987,-1.7753200000000005,-0.5173,0.010620000000000074,9.78508,0.000619999999999999,-0.024300000000000006,0.012600000000000004,174.572,3.032,0.03399999999999981,0.0,0.0,52.218723,-1.502687,121.9
1.9000000000000001,-0.18153999999999937,1.7509199999999971,-1.10926,-0.4905999999999999,0.16886000000000018,9.78764,-0.003440000000000004,-0.03240000000000001,0.017500000000000005,175.626,2.8659999999999997,-0.9280000000000008,0.0,0.0,52.218723,-1.502687,121.9
2.0,0.26449999999999996,0.13679999999999998,-0.4432000000000009,-0.4639,0.3271,9.7902,-0.0075,-0.0405,0.0224,176.68,2.7,-1.89,0.0,0.0,52.218723,-1.502687,121.9
2.1,0.10913999999999982,0.21338000000000004,-0.33432000000000056,-0.46102,0.32114,9.79052,-0.0019599999999999947,-0.030919999999999993,0.0226,177.812,2.686,-1.8599999999999999,0.0,0.0,52.218723,-1.502687,121.9
2.2,-0.046220000000000316,0.2899600000000001,-0.2254400000000002,-0.45814,0.31518,9.790840000000001,0.0035800000000000103,-0.021339999999999984,0.0228,178.94400000000002,2.672,-1.8299999999999998,0.0,0.0,52.218723,-1.502687,121.9
2.3000000000000003,-0.20158000000000043,0.3665400000000002,-0.11655999999999983,-0.45526,0.30922,9.79116,0.009120000000000014,-0.011759999999999975,0.023,180.07600000000002,2.658,-1.7999999999999998,0.0,0.0,52.218723,-1.502687,121.9
2.4000000000000004,-0.3569400000000006,0.44312000000000024,-0.007679999999999465,-0.45238,0.30326,9.79148,0.01466000000000002,-0.0021799999999999667,0.023200000000000002,181.208,2.6439999999999997,-1.7699999999999998,0.0,0.0,52.218723,-1.502687,121.9
2.5,-0.5123,0.5196999999999999,0.1012000000000004,-0.4495,0.2973,9.7918,0.0202,0.0074,0.0234,182.34,2.63,-1.74,0.0,0.0,52.218723,-1.502687,121.9
2.6,-0.4015999999999999,0.4372999999999999,0.13318000000000052,-0.45074000000000003,0.2832,9.79212,0.016379999999999995,0.006339999999999999,0.01894,182.094,2.648,-1.662,0.0,0.0,52.218723,-1.502687,121.9
2.7,-0.2908999999999998,0.3548999999999998,0.1651600000000006,-0.45198,0.2691,9.792440000000001,0.012559999999999993,0.005279999999999998,0.014479999999999993,181.848,2.666,-1.5839999999999999,0.0,0.0,52.218723,-1.502687,121.9
2.8000000000000003,-0.1801999999999997,0.27249999999999974,0.1971400000000007,-0.45322,0.25499999999999995,9.79276,0.008739999999999989,0.004219999999999996,0.010019999999999989,181.602,2.684,-1.5059999999999998,0.0,0.0,52.218723,-1.502687,121.9
2.9000000000000004,-0.06949999999999962,0.1900999999999997,0.22912000000000082,-0.45446,0.24089999999999995,9.79308,0.004919999999999987,0.003159999999999996,0.005559999999999985,181.35600000000002,2.7020000000000004,-1.4279999999999997,0.0,0.0,52.218723,-1.502687,121.9
3.0,0.041200000000000014,0.10770000000000002,0.2611000000000008,-0.4557,0.2268,9.7934,0.0011,0.0021,0.0011,181.11,2.72,-1.35,0.0,0.0,52.218723,-1.502687,121.9
3.1,0.06584000000000004,0.09572,0.2568200000000008,-0.45422,0.22618,9.79348,0.0013000000000000002,0.0012599999999999992,0.0013000000000000002,181.11,2.708,-1.346,0.0,0.0,52.218723,-1.502687,121.9
3.2,0.09048000000000005,0.08374,0.2525400000000008,-0.45274,0.22556,9.79356,0.0015000000000000005,0.0004199999999999985,0.0015000000000000005,181.11,2.696,-1.342,0.0,0.0,52.218723,-1.502687,121.9
3.3000000000000003,0.11512000000000007,0.07175999999999999,0.24826000000000084,-0.45126,0.22494,9.79364,0.0017000000000000006,-0.0004200000000000024,0.0017000000000000006,181.11,2.684,-1.338,0.0,0.0,52.218723,-1.502687,121.9
3.4000000000000004,0.13976000000000008,0.059779999999999965,0.24398000000000086,-0.44977999999999996,0.22432000000000002,9.793719999999999,0.0019000000000000006,-0.0012600000000000029,0.0019000000000000006,181.11,2.672,-1.334,0.0,0.0,52.218723,-1.502687,121.9
