timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,23.260414,23.260414,47.211536,-1.626885,47.211329438902595,-1.6269313983544074,23.234387242807585
1,23.21825,23.21825,47.211536,-1.626885,47.21112293033921,-1.6269744924648177,46.42600568542385
2,23.12109,23.12109,47.211536,-1.626885,47.21091751957512,-1.6270197660417618,69.52117654772373
3,23.18198,23.18198,47.211536,-1.626885,47.210711787841966,-1.6270672713343037,92.67656935377154
4,23.125374,23.125374,47.211536,-1.626885,47.21050663632016,-1.6271153853873055,115.77533822255454
5,23.181692,23.181692,47.211536,-1.626885,47.21030063418317,-1.627160253147605,138.93093789046114
6,23.249962,23.249962,47.211536,-1.626885,47.210094436889385,-1.6272091724904179,162.15397242941606
7,23.072468,23.072468,47.211536,-1.626885,47.20988934648118,-1.627253238656223,185.20017749481812
8,22.993694,22.993694,47.209805,-1.626942,47.209685188915394,-1.6272994395778515,30.107682398002115
9,23.115465,23.115465,47.209805,-1.626942,47.209480530195364,-1.6273511346728242,47.50602179083009
10,23.355305,23.355305,47.209805,-1.626942,47.20927359387662,-1.6274020260966748,68.54980539898094
11,23.101303,23.101303,47.209805,-1.626942,47.20906870331915,-1.627450524944215,90.43569357960236
12,23.07869,23.07869,47.209805,-1.626942,47.208864019912944,-1.627499036391556,112.77574181583998
13,23.072598,23.072598,47.209805,-1.626942,47.20865911165147,-1.627544912400883,135.3114600293979
14,22.990242,22.990242,47.209805,-1.626942,47.20845496907354,-1.627590955067373,157.91766714459712
15,23.088568,23.088568,47.209805,-1.626942,47.20824939362217,-1.627631452469279,180.64555758320506
16,23.088268,23.088268,47.209805,-1.626942,47.208043787972045,-1.6276715860296418,203.44461599235834
17,22.990757,22.990757,47.2083,-1.626493,47.20783927076664,-1.627713921416682,105.50084630312489
18,23.056839,23.056839,47.2083,-1.626493,47.20763420529185,-1.6277567905065964,120.80794563747456
19,23.193827,23.193827,47.2083,-1.626493,47.20742806748582,-1.6278014014978432,138.45090454343995
20,22.863808,22.863808,47.2083,-1.626493,47.20722480047232,-1.627844749315385,157.2269840385925
21,23.126446,23.126446,47.2083,-1.626493,47.20701882580458,-1.627884624778235,177.04701805742567
22,23.092314,23.092314,47.2083,-1.626493,47.20681323285269,-1.6279253016497366,197.57860738527845
23,23.078438,23.078438,47.2083,-1.626493,47.206608259491,-1.6279710592474645,218.75265961385534
24,23.179909,23.179909,47.2083,-1.626493,47.2064020684261,-1.628013833422825,240.28378483520487
25,23.022217,23.022217,47.2083,-1.626493,47.20619674384053,-1.6280502794804752,261.79059359354426
26,23.109982,23.109982,47.206966,-1.625634,47.2059906715196,-1.62808728903644,214.72512170789028
27,23.165188,23.165188,47.206966,-1.625634,47.20578442106904,-1.6281279981576948,229.6883198651429
28,23.150364,23.150364,47.206966,-1.625634,47.205578899737446,-1.6281747707357543,246.2276016353047
29,22.941101,22.941101,47.206966,-1.625634,47.20537439779941,-1.6282122790204414,263.16457547979434
30,23.073109,23.073109,47.206966,-1.625634,47.205168817990625,-1.6282511531571267,281.1086516188349
31,23.054106,23.054106,47.206966,-1.625634,47.20496367028522,-1.6282928958725027,299.8608409679345
32,23.208553,23.208553,47.206966,-1.625634,47.20475674833211,-1.6283304146275923,319.12127580658995
33,22.945541,22.945541,47.206966,-1.625634,47.20455238216428,-1.62836994590716,338.7407862704821
34,23.121347,23.121347,47.206966,-1.625634,47.20434635407633,-1.6284086884431908,358.867031472359
35,23.13139,23.13139,47.205692,-1.624574,47.20414015586505,-1.6284465069674814,339.6425552299423
36,23.14357,23.14357,47.205692,-1.624574,47.20393394031325,-1.6284854078542033,354.2947068568119
37,23.149445,23.149445,47.205692,-1.624574,47.20372730377556,-1.6285198209818572,369.56664363263945
38,23.071463,23.071463,47.205692,-1.624574,47.2035216680803,-1.6285578740545663,385.7659709466444
39,23.117203,23.117203,47.205692,-1.624574,47.20331508769012,-1.6285890784574693,402.31191272342966
40,23.089104,23.089104,47.205692,-1.624574,47.203108568536294,-1.6286173896642422,419.3129063107975
41,23.0137,23.0137,47.205692,-1.624574,47.202903007984624,-1.6286497866011038,437.01194420954704
42,23.190247,23.190247,47.205692,-1.624574,47.20269585723616,-1.6286822490051112,455.31673366928317
43,23.200916,23.200916,47.205692,-1.624574,47.20248884460436,-1.6287178054104376,474.1895609752553
44,23.190376,23.190376,47.204407,-1.623487,47.202282110363214,-1.6287555982488273,462.86770974184344
45,22.926954,22.926954,47.204407,-1.623487,47.202077291976,-1.6287874204079178,476.91467678637395
46,23.029161,23.029161,47.204407,-1.623487,47.20187179034756,-1.628822440972504,491.8691003040247
47,23.048424,23.048424,47.204407,-1.623487,47.201666576017026,-1.6288629034852056,507.73559661921405
48,23.10122,23.10122,47.204407,-1.623487,47.2014604687425,-1.6288985051204519,523.9087987638528
49,23.10669,23.10669,47.204407,-1.623487,47.20125434128752,-1.628934472227191,540.6058473649933
50,22.933306,22.933306,47.204407,-1.623487,47.20104978488949,-1.6289704704025572,557.6431496221285
51,23.071775,23.071775,47.204407,-1.623487,47.20084363894731,-1.6290020180963034,574.9664168416464
52,23.043903,23.043903,47.204407,-1.623487,47.200638025870276,-1.6290373148536492,592.8380031809947
53,22.973206,22.973206,47.20312,-1.622372,47.20043286782594,-1.6290702093017442,587.6655345402464
54,23.021141,23.021141,47.20312,-1.622372,47.20022724745607,-1.629102706241693,601.688096444948
