timestamp,reference_velocity,predicted_velocity,reference_lat,reference_lon,estimated_lat,estimated_lon,position_error
0,10.977794,10.977794,47.211536,-1.626885,47.21143851312379,-1.6269068977856411,10.96551000434908
1,12.066406,12.066406,47.211536,-1.626885,47.21133119167663,-1.6269292936210926,23.018091888007167
2,11.86131,11.86131,47.211536,-1.626885,47.21122581425895,-1.626952519431009,34.86610000275061
3,10.734996,10.734996,47.211536,-1.626885,47.21113054503314,-1.6269745180730324,45.5887671502686
4,10.865096,10.865096,47.211536,-1.626885,47.21103415779144,-1.626997123888638,56.44134099698356
5,10.742426,10.742426,47.211536,-1.626885,47.210938696136445,-1.6270179158732203,67.17168378264049
6,9.735481,9.735481,47.211536,-1.626885,47.21085235492425,-1.6270384001681175,76.89586649612
7,10.217185,10.217185,47.211536,-1.626885,47.210761534702314,-1.6270579142750186,87.10143870406483
8,11.12933,11.12933,47.209805,-1.626942,47.210662719051975,-1.627080276655648,95.94423386149697
9,11.184428,11.184428,47.209805,-1.626942,47.21056369483825,-1.6271052898116092,85.25991002021631
10,10.35424,10.35424,47.209805,-1.626942,47.210471952580065,-1.6271278522575148,75.4787691382412
11,11.1730385,11.1730385,47.209805,-1.626942,47.210372856434994,-1.6271513094508638,65.09206216360666
12,12.063959,12.063959,47.209805,-1.626942,47.21026586196127,-1.6271766685383589,54.22464342699412
13,10.548572,10.548572,47.209805,-1.626942,47.21017217985788,-1.6271976431667692,45.16478362806706
14,11.180866,11.180866,47.209805,-1.626942,47.210072899003954,-1.627220035779313,36.448047271687734
15,11.158957,11.158957,47.209805,-1.626942,47.209973542146855,-1.6272396092122765,29.267570333306246
16,11.631611,11.631611,47.209805,-1.626942,47.209869960324,-1.6272598287075781,25.07074634133457
17,11.857761,11.857761,47.2083,-1.626493,47.20976447809818,-1.6272816644480104,173.39759991763853
18,9.998577,9.998577,47.2083,-1.626493,47.20967555164279,-1.627300255264385,164.66138548336897
19,10.826536,10.826536,47.2083,-1.626493,47.20957932955551,-1.6273210798185296,155.39990438541724
20,11.478048,11.478048,47.2083,-1.626493,47.20947728580861,-1.6273428420959177,145.80116500836402
